ml	CpG.number
chr13_102533428_102534254	0.07	6
chr13_103048802_103049343	0.22	10
chr13_103067794_103068588	0.03	8
chr13_103102410_103103181	0.07	8
chr13_103150334_103151142	0.07	6
chr13_103211428_103212516	0.17	21
chr13_103368943_103369773	0.14	10
chr13_103373697_103374069	0.36	4
chr13_103430460_103431591	0.54	24
chr13_103986093_103987097	0.47	12
chr13_103993338_103994386	0.12	10
chr13_104694462_104695341	0.65	12
chr13_104869675_104870457	0.48	4
chr13_105193492_105194029	0.21	6
chr13_106723120_106724242	0.5	7
chr13_107168579_107169360	0.15	20
chr13_107362760_107363501	0.26	9
chr13_107507203_107507825	0.09	5
chr13_107698229_107699772	0.19	19
chr13_107766419_107767460	0.08	13
chr13_108095534_108096122	0.66	8
chr13_108449150_108449961	0.05	10
chr13_108498472_108499327	0.55	14
chr13_108775703_108776285	0.12	10
chr13_109235897_109236658	0.45	7
chr13_109671607_109672436	0.01	8
chr13_109746319_109747122	0.35	3
chr13_110144945_110145471	0.8	9
chr13_110198863_110199647	0.06	6
chr13_110211326_110212185	0.09	11
chr13_110237226_110237998	0.42	10
chr13_110618616_110619443	0.25	11
chr13_110841592_110842607	0.2	11
chr13_110882021_110883344	0.14	18
chr13_110913452_110914107	0.33	7
chr13_111087622_111088326	0.29	3
chr13_111178841_111179870	0.19	13
chr13_111304037_111304608	0.07	3
chr13_111356471_111357080	0.3	5
chr13_111383871_111385003	0.29	12
chr13_111394313_111395403	0.13	14
chr13_111776965_111778093	0.56	24
chr13_111904552_111905721	0.04	25
chr13_112100387_112101409	0.03	32
chr13_112288193_112289014	0.03	21
chr13_112317649_112318684	0.31	11
chr13_112560426_112561215	0.14	8
chr13_112941864_112942287	0.43	14
chr13_113394498_113395186	0.39	23
chr13_113986832_113987525	0.35	11
chr13_114085295_114085933	0.08	13
chr13_114199697_114200652	0.14	12
chr13_114817954_114818859	0.02	45
chr13_115089828_115091152	0.02	61
chr13_117567173_117567773	0.18	7
chr13_119408549_119409457	0	33
chr14_7026876_7027923	0.04	5
chr14_7314965_7315588	0	7
chr14_7773806_7774444	0.4	20
chr14_8151654_8152190	0.06	10
chr14_8185867_8186913	0.42	5
chr14_8208577_8209427	0.42	7
chr14_8331371_8331963	0.69	13
chr14_8867562_8868225	0.04	7
chr14_9474718_9475703	0.65	12
chr14_10221577_10222308	0.12	3
chr14_11428483_11429418	0.13	14
chr14_11630367_11631449	0.29	10
chr14_11672698_11673229	0.35	5
chr14_11811060_11811917	0.07	7
chr14_12003944_12004690	0.16	8
chr14_12039763_12040314	0.04	2
chr14_12139574_12140390	0.01	15
chr14_12161769_12162453	0.07	6
chr14_12296338_12296859	0.03	7
chr14_12436626_12437790	0.12	16
chr14_12504160_12505057	0.17	12
chr14_12923507_12924549	0.18	4
chr14_13037367_13038016	0.03	2
chr14_13177776_13178394	0.08	1
chr14_13592950_13593685	0.13	6
chr14_13690327_13690989	0.16	2
chr14_13960455_13961253	0	17
chr14_14294126_14294928	0.58	12
chr14_14345433_14346151	0.01	28
chr14_14702567_14703962	0	55
chr14_14885760_14886135	0	3
chr14_15308526_15309517	0.22	5
chr14_15383162_15383885	0.4	3
chr14_16738367_16739055	0.03	2
chr14_16746830_16747485	0.07	2
chr14_17621534_17622189	0.03	3
chr14_17818044_17818629	0	2
chr14_17832024_17832574	0.51	3
chr14_18029452_18029971	0.12	1
chr14_18061967_18062761	0.04	6
chr14_18106759_18107664	0	3
chr14_18238664_18239713	0.01	23
chr14_18416481_18417448	0.25	5
chr14_18553759_18554718	0.02	6
chr14_18983505_18984362	0.19	3
chr14_19417621_19418069	0.77	12
chr14_19874313_19875020	0.06	14
chr14_20268330_20268991	0.35	8
chr14_20446810_20447619	0.1	15
chr14_20757215_20758041	0.58	24
chr14_20901271_20901690	0.17	3
chr14_20914317_20914981	0.3	4
chr14_21252257_21252742	0.48	4
chr14_21310081_21311280	0.23	16
chr14_21367383_21367817	0.21	3
chr14_21472297_21472945	0.31	4
chr14_21640710_21641563	0.06	8
chr14_21706574_21707643	0.12	18
chr14_21931686_21933398	0.11	15
chr14_22364121_22365315	0.06	12
chr14_22445085_22446491	0.2	8
chr14_22497421_22498284	0.29	7
chr14_23451952_23452488	0.33	3
chr14_23531610_23532283	0.06	8
chr14_23750913_23751872	0.11	8
chr14_23923006_23924001	0.4	6
chr14_24171441_24172444	0.42	19
chr14_24197821_24198420	0.08	7
chr14_24204992_24205856	0.02	7
chr14_24397648_24398271	0.43	7
chr14_24646048_24647058	0.07	8
chr14_24793371_24794002	0.65	8
chr14_24900425_24901193	0.39	14
chr14_24911389_24912126	0.16	7
chr14_24929735_24930193	0.53	3
chr14_25050539_25051308	0.18	12
chr14_25350256_25350864	0.07	9
chr14_25421334_25422316	0.19	10
chr14_25654107_25655300	0.32	13
chr14_25816306_25816903	0.03	10
chr14_25823846_25824634	0.48	10
chr14_25851719_25852861	0.17	17
chr14_25872170_25873542	0.38	10
chr14_26308711_26309334	0.09	6
chr14_26539216_26539605	0.01	4
chr14_27081279_27082236	0.06	6
chr14_27219343_27220430	0.46	19
chr14_27228206_27229339	0.13	7
chr14_27242477_27243107	0.47	8
chr14_27444532_27445308	0.35	6
chr14_27641166_27641946	0.2	6
chr14_27720902_27722110	0.16	9
chr14_27789086_27789470	0.14	2
chr14_27798090_27798995	0.05	14
chr14_27852444_27853096	0.04	8
chr14_27860396_27861185	0.25	8
chr14_28150879_28151810	0.67	3
chr14_28164808_28165237	0.25	8
chr14_28821017_28821990	0.09	9
chr14_29769317_29770056	0.03	4
chr14_29866433_29867646	0.14	13
chr14_29895939_29896702	0.17	6
chr14_30124770_30126254	0.09	32
chr14_30217992_30218552	0.96	5
chr14_30317801_30318950	0.13	25
chr14_30457481_30458643	0.19	13
chr14_30973949_30974885	0.14	10
chr14_31572672_31573423	0.02	9
chr14_31575859_31576390	0.25	9
chr14_31668230_31670160	0.13	36
chr14_31857395_31858242	0.06	10
chr14_31933427_31934203	0.01	16
chr14_32002758_32003655	0.09	18
chr14_32828040_32828697	0.07	6
chr14_32947373_32947971	0.16	5
chr14_33081432_33081938	0.63	6
chr14_33135151_33135594	0.04	6
chr14_33474285_33475001	0.33	7
chr14_34200622_34201682	0.39	16
chr14_34854220_34854736	0.3	6
chr14_34884084_34885137	0.24	10
chr14_34944260_34945085	0.33	14
chr14_34959361_34960734	0.11	13
chr14_36557471_36557878	0.07	1
chr14_37066406_37067182	0.07	6
chr14_37238483_37239181	0.63	7
chr14_37571873_37572834	0.01	10
chr14_39106661_39107484	0.12	5
chr14_39173503_39174324	0.65	8
chr14_39355830_39356725	0.17	4
chr14_40308263_40309022	0.02	6
chr14_40885215_40885799	0.17	4
chr14_45049407_45050538	0.15	9
chr14_45388393_45389585	0.01	25
chr14_45549956_45550548	0.02	10
chr14_46148651_46149486	0.1	6
chr14_46898440_46899101	0.03	5
chr14_47093060_47094069	0.02	26
chr14_47445567_47446363	0.14	9
chr14_48286754_48287399	0.4	8
chr14_48421464_48423076	0.19	20
chr14_48472019_48472924	0.06	12
chr14_48824267_48824885	0.42	5
chr14_48907160_48907883	0.39	5
chr14_48979011_48979773	0.04	3
chr14_49347953_49348853	0.18	7
chr14_49590137_49591091	0.14	5
chr14_50061652_50062882	0.01	59
chr14_50903850_50904593	0.26	26
chr14_50944001_50945344	0.06	34
chr14_51266073_51266558	0.08	9
chr14_51884490_51885232	0	36
chr14_51929577_51930232	0.06	12
chr14_51984211_51986214	0.06	47
chr14_52019283_52020833	0.01	49
chr14_52058361_52058901	0.72	2
chr14_54086385_54087196	0.06	24
chr14_54108717_54109158	0.28	5
chr14_54195833_54196370	0.25	6
chr14_54594493_54595505	0.02	15
chr14_54624820_54625348	0.4	12
chr14_54664270_54665251	0.34	17
chr14_54728728_54729732	0.1	6
chr14_54893369_54894651	0.01	36
chr14_55076129_55076831	0.07	8
chr14_55121909_55123014	0.45	14
chr14_55347980_55348820	0.6	9
chr14_55460253_55460711	0.3	10
chr14_55584387_55585740	0.06	40
chr14_55854467_55855176	0.6	8
chr14_55873761_55874289	0.06	20
chr14_56167916_56168646	0.24	9
chr14_56647340_56647815	0.29	4
chr14_56886900_56888181	0	33
chr14_57153917_57154969	0.38	12
chr14_57317065_57317581	0.22	11
chr14_57489499_57490339	0.05	5
chr14_57503639_57504272	0.8	8
chr14_57517001_57517643	0.07	8
chr14_57664521_57665710	0	55
chr14_57797807_57799175	0	74
chr14_58352930_58353381	0.3	1
chr14_58786876_58787399	1	2
chr14_59597388_59598328	0	36
chr14_60026516_60027435	0.04	11
chr14_60592623_60593293	0.33	11
chr14_60655796_60656484	0.19	16
chr14_60659442_60660163	0.09	11
chr14_60776582_60777050	0.29	7
chr14_60966012_60966706	0.24	6
chr14_61012341_61012992	0.02	18
chr14_61091860_61092667	0.16	10
chr14_61238524_61239171	0.09	13
chr14_61960558_61961263	0.03	3
chr14_62492345_62492953	0.34	18
chr14_62760814_62762231	0	34
chr14_62800744_62801325	0.21	4
chr14_62850900_62851511	0.01	6
chr14_62892844_62893604	0.33	8
chr14_62927990_62928709	0.46	9
chr14_63460682_63461513	0.62	7
chr14_63579660_63580209	0.12	7
chr14_63976713_63977185	0.23	6
chr14_64099599_64100447	0.32	7
chr14_64212500_64213234	0.05	6
chr14_64492808_64493477	0.2	3
chr14_64608650_64609495	0.33	12
chr14_64743962_64744790	0.28	9
chr14_64949639_64950431	0.01	17
chr14_65031070_65031806	0.3	10
chr14_65285234_65285983	0.25	16
chr14_65321655_65322595	0.73	10
chr14_65859089_65859789	0.18	10
chr14_66160903_66161798	0.09	22
chr14_66213373_66214156	0.01	8
chr14_66234278_66235011	0.03	7
chr14_66387514_66388113	0.54	2
chr14_66441667_66442392	0.06	3
chr14_66457079_66457785	0.17	9
chr14_66526748_66527839	0.04	12
chr14_68020615_68021425	0.48	12
chr14_68381631_68382394	0.12	8
chr14_68847771_68848295	0.14	1
chr14_69949018_69949575	0.15	7
chr14_70106409_70107198	0.31	5
chr14_70331446_70331897	0.26	4
chr14_70442892_70444013	0	36
chr14_70537855_70539326	0.11	19
chr14_70544943_70545500	0.01	19
chr14_70839138_70839588	0.46	3
chr14_71000233_71001219	0.31	7
chr14_71092282_71093027	0.44	10
chr14_71338050_71338594	0.11	8
chr14_71464133_71464588	0.15	5
chr14_71486488_71486970	0.25	6
chr14_71728219_71729295	0.17	9
chr14_71972423_71973538	0.14	7
chr14_72004278_72004718	0.05	1
chr14_72042418_72043299	0.44	5
chr14_72063915_72064870	0.15	13
chr14_72234099_72234963	0.31	6
chr14_72293331_72294087	0.05	5
chr14_72783068_72783744	0.45	8
chr14_72817684_72818089	0.11	6
chr14_73161493_73162701	0.18	17
chr14_73174206_73175091	0.09	6
chr14_73620688_73621805	0.33	4
chr14_73709165_73710303	0.12	12
chr14_73731940_73732621	0.15	6
chr14_74113051_74113948	0.08	9
chr14_74252643_74253509	0.02	6
chr14_74537986_74538679	0.06	5
chr14_74659322_74660017	0.01	11
chr14_74852861_74853728	0.01	15
chr14_74877522_74877924	0.23	2
chr14_74882954_74883715	0.03	15
chr14_74914984_74915637	0.14	12
chr14_74996509_74997059	0.63	7
chr14_75020745_75021351	0.2	13
chr14_75179143_75179651	0.27	11
chr14_75473195_75473917	0.83	3
chr14_75565680_75567004	0.37	19
chr14_75849970_75850528	0.1	4
chr14_75855303_75856061	0.21	9
chr14_75892025_75893018	0.04	20
chr14_76505560_76506265	0.01	19
chr14_76650784_76651598	0.37	15
chr14_76739907_76740764	0.03	11
chr14_76746125_76746711	0.05	14
chr14_76791857_76792743	0.08	10
chr14_76804640_76805206	0.3	6
chr14_76819487_76820338	0.06	13
chr14_76951300_76952427	0.36	12
chr14_77225216_77225797	0.06	14
chr14_77394971_77395570	0.34	11
chr14_77608140_77608868	0.3	5
chr14_77621481_77622479	0.16	6
chr14_77733159_77733945	0.53	6
chr14_77744724_77745447	0.15	8
chr14_78065805_78066805	0.07	10
chr14_78083296_78083901	0.41	5
chr14_78276442_78276991	0.05	19
chr14_78368786_78369237	0.03	3
chr14_78383250_78383868	0.35	9
chr14_78482618_78483150	0.04	9
chr14_78640755_78641339	0.5	5
chr14_78649367_78650627	0.05	27
chr14_78941763_78942761	0.04	15
chr14_79157477_79158095	0.76	10
chr14_79223569_79224364	0.09	14
chr14_79824366_79825301	0.17	19
chr14_80025703_80026562	0.04	10
chr14_80237099_80238090	0.29	5
chr14_83246797_83247582	0.16	6
chr14_85915768_85916548	0.01	5
chr14_86158828_86159781	0.02	14
chr14_86170931_86171495	0.13	3
chr14_86247589_86248279	0.15	7
chr14_86624846_86625640	0.04	10
chr14_86861257_86862049	0.42	11
chr14_87155101_87156533	0.18	21
chr14_87683090_87683870	0.16	4
chr14_91889010_91889768	0.09	10
chr14_93072325_93072888	0.17	6
chr14_93499006_93499491	0.52	10
chr14_99045672_99046661	0	72
chr14_99060257_99061026	0.12	21
chr14_99376717_99377363	0	3
chr14_99700327_99700741	0.64	5
chr14_101430487_101431117	0.03	9
chr14_101510405_101511150	0.01	13
chr14_101607464_101609389	0.03	104
chr14_101878462_101879127	0.4	7
chr14_102718540_102719032	0.48	5
chr14_102934863_102935520	0.29	6
chr14_103109498_103110668	0.4	12
chr14_103162505_103163362	0.37	13
chr14_103440126_103440901	0.02	8
chr14_103751041_103752227	0.14	3
chr14_105498257_105498715	0.15	3
chr14_105588255_105588980	0.39	14
chr14_105658127_105658840	0.22	4
chr14_105697237_105697822	0.82	14
chr14_106012164_106012615	0.25	4
chr14_106506962_106507451	0.01	4
chr14_111096135_111096635	0.19	5
chr14_112465011_112465636	0.22	1
chr14_114547860_114548536	0	4
chr14_117768651_117769226	0.07	10
chr14_117895010_117896086	0.04	26
chr14_117958190_117959278	0.03	27
chr14_117981348_117982095	0.4	18
chr14_118150780_118151415	0.15	19
chr14_118662063_118662953	0.31	29
chr14_118723633_118724299	0.4	7
chr14_118903287_118903974	0.4	6
chr14_119247873_119248743	0.52	22
chr14_120374723_120375336	0.07	13
chr14_120578504_120579332	0.01	13
chr14_120626432_120627418	0.55	15
chr14_120661418_120662412	0.51	4
chr14_120685224_120685825	0.27	8
chr14_120763701_120764464	0.11	12
chr14_120791991_120792899	0.03	5
chr14_120797756_120798392	0.37	7
chr14_120809212_120810027	0.16	14
chr14_120826324_120826750	0.19	3
chr14_120848995_120849521	0.26	17
chr14_120855083_120855713	0.15	19
chr14_120989032_120989694	0.04	5
chr14_121074169_121074856	0.22	3
chr14_121199936_121200867	0.19	16
chr14_121245974_121246829	0.34	15
chr14_121378294_121380055	0.01	44
chr14_121634647_121635459	0.69	13
chr14_121636823_121637616	0.16	14
chr14_122223666_122224198	0.09	7
chr14_122338521_122339243	0.9	9
chr14_122754123_122754901	0.28	5
chr14_122885519_122886542	0.56	10
chr14_122902763_122903483	0.55	6
chr14_123626366_123627649	0.01	45
chr14_124191878_124192902	0.04	39
chr14_124767175_124767608	0.25	2
chr15_3344403_3345041	0.11	5
chr15_5002976_5004127	0.29	8
chr15_5194049_5194761	0.3	10
chr15_6997772_6998337	0.14	8
chr15_8030552_8031424	0.14	10
chr15_8629411_8629699	0.01	5
chr15_10413473_10414130	0.21	8
chr15_10426301_10427383	0.28	19
chr15_10620999_10621714	0.38	11
chr15_10750214_10750780	0.01	2
chr15_10840185_10841112	0	6
chr15_12024748_12025525	0.02	22
chr15_12066260_12067052	0.47	16
chr15_12106230_12107124	0.14	21
chr15_12402057_12402625	0.15	12
chr15_12415364_12416025	0.15	12
chr15_12680741_12681463	0.06	10
chr15_12884743_12885669	0.14	28
chr15_13165481_13166248	0.33	10
chr15_20223402_20224083	0.04	2
chr15_22170139_22170679	0.4	6
chr15_22914314_22914748	0.4	1
chr15_24701528_24702089	0.27	7
chr15_25036092_25036799	0.04	4
chr15_25120452_25120999	0.19	6
chr15_25637662_25638387	0.17	16
chr15_25926144_25926763	0.39	11
chr15_26875590_26876294	0.25	6
chr15_27043703_27044238	0.06	5
chr15_27322005_27322776	0.2	13
chr15_27405615_27406287	0.26	21
chr15_27669097_27669767	0.1	5
chr15_27684735_27685359	0.02	8
chr15_29266724_29267287	0.1	4
chr15_30285672_30286704	0.39	21
chr15_30887409_30888112	0.09	3
chr15_31091670_31092585	0	7
chr15_31571603_31572456	0.25	17
chr15_31634540_31635121	0.22	8
chr15_31977512_31977881	0.07	2
chr15_32171558_32172303	0.23	7
chr15_32204763_32205389	0.27	10
chr15_32297150_32297717	0.3	5
chr15_32432845_32433486	0.01	10
chr15_33480359_33481370	0.32	8
chr15_33646564_33647374	0.55	1
chr15_34287019_34287714	0.02	4
chr15_34330949_34331679	0.48	4
chr15_34401416_34402127	0.4	1
chr15_34453155_34453554	0.18	1
chr15_34685230_34686140	0.01	11
chr15_34746887_34747686	0.03	4
chr15_34846253_34847169	0.03	9
chr15_36024422_36025059	0.21	9
chr15_36112652_36113075	0.35	6
chr15_36141333_36142386	0.02	11
chr15_36296139_36297135	0.3	8
chr15_36330164_36330776	0.02	10
chr15_36345385_36346027	0.18	6
chr15_36715798_36716992	0.01	23
chr15_36732743_36733571	0.06	5
chr15_36891761_36893093	0.77	26
chr15_37124070_37125212	0.1	11
chr15_37290770_37291492	0.34	8
chr15_37593986_37594738	0.3	8
chr15_37673508_37674270	0.19	15
chr15_37680361_37682071	0.17	21
chr15_37726602_37727286	0.01	9
chr15_37761668_37762361	0.43	17
chr15_37925649_37926355	0.77	5
chr15_38165680_38166411	0.9	8
chr15_38384079_38385082	0.02	23
chr15_38406118_38407119	0.14	14
chr15_38919515_38920708	0.07	14
chr15_39217183_39217701	0.06	7
chr15_39721439_39722219	0.91	11
chr15_39796277_39797260	0.11	15
chr15_39810657_39811177	0.86	4
chr15_39900798_39901557	0.05	10
chr15_39943463_39944833	0.01	29
chr15_40361953_40362511	0.69	10
chr15_41379559_41380088	0.04	6
chr15_41408665_41409054	0.07	6
chr15_41916848_41917540	0.13	5
chr15_42068127_42068773	0.71	5
chr15_42325096_42325749	0.78	7
chr15_43587716_43588528	0.05	5
chr15_43609808_43610338	0.35	4
chr15_43695303_43696117	0.32	3
chr15_43717559_43718056	0.03	1
chr15_44064913_44065341	0.2	3
chr15_44669807_44670583	0.02	7
chr15_44676475_44677108	0.53	3
chr15_44717169_44717660	0.35	3
chr15_44896188_44896821	0.13	2
chr15_45131828_45132304	0.04	5
chr15_45453729_45454340	0.14	2
chr15_48421360_48421842	0.2	1
chr15_51597740_51598585	0.09	6
chr15_51627453_51627978	0.18	7
chr15_51710041_51710752	0.67	13
chr15_51833969_51834673	0.13	12
chr15_51991061_51992204	0.01	52
chr15_52740214_52741018	0.21	9
chr15_52764088_52765119	0.03	5
chr15_53022188_53022705	0.12	5
chr15_53108077_53108736	0.01	7
chr15_53251782_53252629	0.19	11
chr15_53281595_53282188	0.04	13
chr15_53689059_53689769	0.36	4
chr15_53848447_53848935	0.73	3
chr15_54404550_54405438	0.38	7
chr15_54478797_54479694	0.06	7
chr15_54745154_54746146	0.02	12
chr15_54854394_54854887	0.07	6
chr15_54985833_54986520	0.19	5
chr15_55120624_55121836	0.26	27
chr15_55137295_55137924	0.03	2
chr15_55162385_55162925	0.32	11
chr15_55235704_55236717	0.2	3
chr15_55556885_55557860	0	62
chr15_57654410_57655046	0.17	6
chr15_57745111_57745712	0.15	9
chr15_57820557_57821368	0.2	13
chr15_57836241_57836795	0.36	7
chr15_57984253_57985144	0.67	19
chr15_58075997_58077232	0.01	59
chr15_58186699_58187323	0.57	5
chr15_58531471_58532155	0.18	4
chr15_58571752_58572353	0.02	2
chr15_58665260_58665823	0.02	3
chr15_58734066_58734660	0.16	11
chr15_59009466_59009957	0.02	6
chr15_59018849_59019506	0.02	16
chr15_59314479_59315508	0	50
chr15_59435615_59436179	0.09	12
chr15_59953945_59955035	0.22	6
chr15_61508801_61509386	0.22	6
chr15_61514220_61514831	0.05	1
chr15_61599792_61600188	0.15	6
chr15_61770414_61771112	0.03	5
chr15_61786806_61787486	0.26	1
chr15_62286895_62287358	0.2	3
chr15_62953118_62953716	0	6
chr15_62954803_62955431	0	2
chr15_64032691_64033257	0.43	5
chr15_64098381_64099323	0.54	20
chr15_64373043_64373364	0.21	1
chr15_64402826_64403350	0.65	8
chr15_64434159_64435080	0.31	8
chr15_64447950_64449072	0.3	10
chr15_64561888_64563091	0.38	8
chr15_64664457_64665101	0.06	6
chr15_65531814_65532732	0.06	5
chr15_65557742_65558280	0.07	4
chr15_65733084_65733728	0.11	7
chr15_66137697_66138743	0.52	9
chr15_66199355_66200422	0.2	7
chr15_66270653_66271759	0.05	11
chr15_66313993_66314885	0.11	9
chr15_66475555_66476937	0.01	15
chr15_66485511_66486156	0.02	3
chr15_66495035_66495604	0.2	3
chr15_66513172_66513905	0.16	1
chr15_66745174_66745901	0.46	5
chr15_66775833_66776816	0.01	4
chr15_66861519_66862282	0.1	7
chr15_66883476_66883791	0	2
chr15_66914651_66915458	0.17	5
chr15_66988340_66989061	0.33	12
chr15_67116543_67117163	0.41	8
chr15_67221183_67222122	0.01	5
chr15_67226777_67227956	0.26	14
chr15_67759080_67759384	0.14	3
chr15_67840494_67841290	0.06	4
chr15_67898971_67899519	0.12	4
chr15_67942918_67943602	0.15	2
chr15_68286709_68287645	0.49	11
chr15_68295344_68296033	0.27	4
chr15_68428378_68429588	0.1	8
chr15_68435736_68436858	0.15	8
chr15_68471765_68472456	0.25	12
chr15_68496309_68496959	0.11	4
chr15_68535227_68536213	0.11	12
chr15_68560423_68561215	0.25	5
chr15_68644574_68645437	0.7	2
chr15_68654833_68655465	0.21	5
chr15_68694536_68695495	0.42	7
chr15_68714210_68714944	0.05	6
chr15_68719168_68719956	0.25	14
chr15_68754327_68755475	0.01	5
chr15_68795219_68796019	0.33	6
chr15_68810290_68811729	0.04	16
chr15_69261728_69262514	0.55	6
chr15_69413229_69414138	0.03	2
chr15_69440912_69441499	0.24	4
chr15_69695492_69696490	0.05	7
chr15_69714631_69715467	0.01	3
chr15_69766640_69767622	0.09	2
chr15_70357690_70358611	0.06	14
chr15_71243338_71244055	0.05	10
chr15_71516767_71517859	0.67	4
chr15_71706905_71707661	0.7	8
chr15_71741815_71742215	0.04	5
chr15_71810071_71811031	0.02	3
chr15_71817273_71817930	0.04	3
chr15_71843391_71844161	0.05	1
chr15_71853065_71854021	0.24	6
chr15_72377195_72377910	0.15	7
chr15_72411889_72412664	0.09	8
chr15_72531105_72532222	0.06	6
chr15_72838762_72839398	0.09	8
chr15_72913769_72914668	0.45	15
chr15_73431353_73432098	0.08	12
chr15_73460735_73461552	0.44	15
chr15_73535607_73536122	0.06	4
chr15_73744839_73745437	0.23	3
chr15_73857104_73858220	0.21	25
chr15_73897299_73898278	0.2	7
chr15_74049533_74050624	0.31	9
chr15_74121558_74122113	0.59	10
chr15_74176828_74177548	0.08	10
chr15_74401193_74401635	0.06	5
chr15_75642135_75642916	0.02	25
chr15_75873165_75873830	0.12	7
chr15_76069196_76070157	0.02	31
